,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow
35,68167,2011-02-23,Melbourne,15.5,23.8,0.0,3.6,9.2,SSE,30.0,SE,S,11.0,19.0,65.0,56.0,1026.5,1023.2,7.0,1.0,16.7,21.0,No,,
36,68168,2011-02-24,Melbourne,13.7,25.0,,4.2,10.4,S,31.0,N,S,9.0,17.0,74.0,50.0,1019.9,1017.0,5.0,6.0,15.8,21.9,,,
37,68237,2011-06-03,Melbourne,12.2,17.0,0.0,2.2,2.2,N,67.0,N,N,39.0,22.0,63.0,56.0,1016.4,1013.4,7.0,7.0,13.8,16.7,No,,
38,68238,2011-06-04,Melbourne,11.7,16.9,,2.0,7.1,W,44.0,WNW,WSW,17.0,15.0,70.0,47.0,1014.7,1014.9,,,11.8,15.6,,,
39,68242,2011-06-08,Melbourne,4.9,12.0,6.6,1.2,4.7,SW,57.0,WSW,SW,31.0,39.0,77.0,73.0,1019.2,1018.9,6.0,6.0,6.8,10.9,Yes,,
40,68244,2011-06-10,Melbourne,9.8,16.2,2.6,0.4,5.9,SSE,35.0,SSW,S,17.0,22.0,77.0,65.0,1023.6,1024.3,6.0,,11.9,13.7,Yes,,
41,68245,2011-06-11,Melbourne,10.1,16.3,,1.0,7.3,SSE,33.0,WSW,SSE,9.0,26.0,75.0,62.0,1030.0,1029.2,,,11.2,14.8,,,
42,68246,2011-06-12,Melbourne,6.7,15.3,,1.4,4.0,S,31.0,SW,S,7.0,24.0,97.0,66.0,1031.3,1028.8,,,7.8,14.3,,,
43,68251,2011-06-17,Melbourne,6.3,14.4,4.4,1.2,4.8,SW,63.0,WSW,SW,30.0,31.0,80.0,54.0,1008.5,1010.3,6.0,7.0,10.7,13.2,Yes,,
44,68252,2011-06-18,Melbourne,9.4,16.8,,1.6,5.0,WSW,50.0,W,WSW,17.0,20.0,83.0,61.0,1013.5,1013.4,,,12.1,16.1,,,
45,68272,2011-07-08,Melbourne,6.6,12.5,0.0,1.4,0.3,W,43.0,NNW,NW,15.0,22.0,62.0,55.0,1023.7,1021.1,7.0,7.0,9.6,12.2,No,,
46,68273,2011-07-09,Melbourne,8.4,14.8,,1.4,8.6,W,48.0,NW,W,15.0,28.0,67.0,45.0,1020.2,1017.8,,,9.1,14.2,,,
47,68274,2011-07-10,Melbourne,7.6,13.4,,2.4,1.2,WNW,63.0,NW,W,26.0,39.0,55.0,90.0,1011.0,1010.0,,,10.9,11.4,,,
48,68286,2011-07-22,Melbourne,8.9,17.5,0.8,0.2,8.8,WNW,20.0,W,WSW,13.0,9.0,80.0,56.0,1025.2,1022.9,1.0,2.0,9.6,15.2,No,,
49,68287,2011-07-23,Melbourne,5.5,13.0,,1.4,3.0,N,24.0,N,S,17.0,9.0,90.0,64.0,1024.4,1021.1,,,6.7,12.4,,,
50,68290,2011-07-26,Melbourne,7.9,14.1,5.2,0.8,3.2,WSW,31.0,W,SW,19.0,20.0,84.0,58.0,1023.0,1023.5,7.0,7.0,9.3,13.7,Yes,,
51,68300,2011-08-05,Melbourne,13.3,18.4,0.0,2.4,1.5,NNE,46.0,WNW,WNW,13.0,13.0,43.0,43.0,1018.2,1017.5,7.0,7.0,15.1,16.0,No,,
52,68301,2011-08-06,Melbourne,10.4,15.1,,1.6,2.7,W,37.0,N,S,13.0,13.0,79.0,69.0,1017.2,1014.1,,,11.5,13.7,,,
53,68307,2011-08-12,Melbourne,3.5,13.3,0.0,2.8,5.9,N,24.0,NNW,E,6.0,9.0,95.0,55.0,1021.5,1020.5,8.0,5.0,5.6,12.6,No,,
54,68308,2011-08-13,Melbourne,4.5,13.8,,0.6,0.2,N,26.0,N,WNW,11.0,9.0,81.0,65.0,1024.2,1022.6,,,7.0,13.3,,,
55,68321,2011-08-26,Melbourne,8.0,16.5,0.0,3.8,6.9,S,28.0,NW,ENE,7.0,7.0,55.0,42.0,1025.8,1023.3,7.0,,11.1,15.2,No,,
56,68322,2011-08-27,Melbourne,8.9,19.1,,3.0,7.3,WNW,39.0,N,WNW,19.0,17.0,57.0,38.0,1022.4,1019.4,,,11.5,17.8,,,
57,68356,2011-09-30,Melbourne,9.5,17.6,3.8,2.4,5.0,WNW,41.0,WSW,WSW,30.0,19.0,62.0,55.0,1004.0,1001.4,6.0,7.0,12.8,14.8,Yes,,
58,68357,2011-10-01,Melbourne,9.0,14.0,,2.8,0.0,SSE,46.0,S,SSE,20.0,28.0,83.0,74.0,1008.4,1011.8,,,10.5,13.5,,,
59,68363,2011-10-07,Melbourne,13.1,20.5,0.0,2.2,2.1,NW,33.0,NNE,NNW,7.0,11.0,75.0,60.0,1013.5,1010.8,7.0,,15.5,20.1,No,,
60,68364,2011-10-08,Melbourne,12.7,19.9,,2.8,3.2,S,31.0,NNW,SSE,7.0,17.0,83.0,71.0,1013.0,1011.3,,,14.1,17.1,,,
61,68370,2011-10-14,Melbourne,10.4,26.3,0.0,4.0,11.1,N,54.0,N,N,26.0,26.0,68.0,34.0,1015.0,1010.1,3.0,6.0,15.8,25.0,No,,
62,68371,2011-10-15,Melbourne,15.6,24.0,,5.4,9.2,WSW,59.0,SW,SW,13.0,35.0,60.0,59.0,1007.8,1007.1,,,18.3,18.6,,,
63,68377,2011-10-21,Melbourne,14.8,16.0,4.4,6.8,0.0,SSE,26.0,WSW,SSW,9.0,11.0,91.0,86.0,1024.6,1023.8,8.0,7.0,15.4,15.3,Yes,,
64,68378,2011-10-22,Melbourne,13.2,18.1,,0.2,1.4,SW,31.0,ESE,S,9.0,13.0,86.0,80.0,1024.0,1022.0,,,13.4,16.9,,,
65,68384,2011-10-28,Melbourne,16.8,26.4,0.0,8.8,6.2,N,80.0,N,N,63.0,30.0,53.0,46.0,1010.5,1006.0,7.0,8.0,21.0,25.3,No,,
66,68385,2011-10-29,Melbourne,15.4,22.9,,3.8,9.0,WSW,50.0,SSW,WSW,11.0,31.0,84.0,42.0,1010.0,1010.1,,,15.8,21.6,,,
67,68387,2011-10-31,Melbourne,10.9,17.0,22.4,4.0,1.5,SW,37.0,SSW,S,17.0,19.0,76.0,55.0,1025.8,1025.0,7.0,7.0,12.4,15.5,Yes,,
68,68391,2011-11-04,Melbourne,12.6,20.5,1.2,2.6,5.7,SW,24.0,SSW,WSW,13.0,7.0,68.0,54.0,1020.7,1018.6,7.0,1.0,14.4,18.8,Yes,,
69,68392,2011-11-05,Melbourne,10.1,30.6,,3.2,12.5,N,39.0,N,NNE,28.0,24.0,60.0,26.0,1015.2,1011.0,,,17.8,29.1,,,
70,68398,2011-11-11,Melbourne,11.8,24.2,0.0,5.4,10.3,NW,31.0,NNE,N,6.0,13.0,57.0,40.0,1024.2,1020.0,1.0,7.0,16.1,21.4,No,,
71,68399,2011-11-12,Melbourne,14.9,24.4,,5.0,12.5,S,35.0,SSE,ESE,6.0,13.0,56.0,42.0,1019.6,1017.2,,,18.3,24.0,,,
72,68405,2011-11-18,Melbourne,15.2,35.0,0.0,8.0,8.9,SW,93.0,N,NNW,39.0,41.0,47.0,26.0,1011.3,1008.2,6.0,7.0,25.7,33.6,No,,
73,68406,2011-11-19,Melbourne,18.7,22.2,,10.8,0.0,SW,56.0,NE,SSW,13.0,30.0,92.0,86.0,1011.1,1010.8,,,19.0,18.4,,,
74,68409,2011-11-22,Melbourne,12.9,20.2,0.0,4.8,5.9,S,52.0,W,S,15.0,20.0,57.0,53.0,1012.2,1011.0,7.0,6.0,16.9,19.5,No,,
75,68412,2011-11-25,Melbourne,14.6,24.8,0.0,6.2,4.0,NNE,28.0,E,N,9.0,11.0,63.0,57.0,1019.5,1015.9,3.0,7.0,19.2,22.7,No,,
76,68413,2011-11-26,Melbourne,16.9,19.1,,5.2,0.1,W,50.0,WSW,W,20.0,28.0,94.0,81.0,1005.1,1002.4,,,17.6,18.0,,,
77,68426,2011-12-09,Melbourne,19.3,31.7,0.0,12.6,8.7,NNE,63.0,N,NNW,41.0,20.0,45.0,26.0,1010.6,1007.9,6.0,7.0,24.4,30.6,No,,
78,68427,2011-12-10,Melbourne,19.0,29.0,,11.0,5.6,N,59.0,N,N,39.0,22.0,50.0,38.0,1006.5,1003.4,,,24.2,27.2,,,
79,68440,2011-12-23,Melbourne,17.7,30.9,0.0,6.0,9.8,N,41.0,N,S,22.0,9.0,62.0,41.0,1012.7,1009.8,7.0,4.0,22.4,30.6,No,,
80,68441,2011-12-24,Melbourne,18.2,27.1,,7.0,8.8,S,31.0,E,S,9.0,22.0,78.0,66.0,1011.6,1009.6,,,20.2,24.4,,,
81,68442,2011-12-25,Melbourne,18.5,29.6,,5.6,5.3,SSW,100.0,ENE,NNE,19.0,30.0,74.0,43.0,1006.7,1002.3,,,21.7,28.8,,,
82,68443,2011-12-26,Melbourne,17.5,20.7,,12.8,4.1,S,44.0,S,S,24.0,22.0,76.0,69.0,1007.5,1009.3,,,18.3,17.7,,,
83,68455,2012-01-07,Melbourne,14.8,29.9,0.0,9.0,5.9,N,69.0,N,NNE,54.0,30.0,41.0,21.0,1008.8,1005.1,,,22.2,29.9,No,,
84,68461,2012-01-13,Melbourne,13.3,20.9,0.6,4.8,5.1,S,50.0,SW,S,20.0,30.0,69.0,47.0,1019.5,1019.1,8.0,7.0,15.4,19.4,No,,
85,68462,2012-01-14,Melbourne,13.8,19.9,,5.6,3.3,S,46.0,SSW,SSE,17.0,26.0,62.0,53.0,1020.4,1019.7,,,15.4,19.1,,,
86,68474,2012-01-26,Melbourne,16.1,24.5,0.0,4.4,12.4,S,50.0,S,S,13.0,31.0,67.0,55.0,1018.5,1016.9,,,18.9,23.7,No,,
87,68475,2012-01-27,Melbourne,16.6,30.7,,8.0,13.0,SSE,39.0,WSW,SSE,9.0,19.0,69.0,55.0,1016.9,1013.5,,,20.5,26.3,,,
88,68476,2012-01-28,Melbourne,20.0,30.4,,8.2,12.1,SSE,37.0,SW,S,13.0,26.0,64.0,55.0,1012.7,1009.2,,,24.1,27.4,,,
89,68482,2012-02-03,Melbourne,15.3,27.1,0.0,6.2,12.3,SSE,33.0,WSW,SSE,13.0,20.0,71.0,41.0,1008.4,1005.5,7.0,3.0,18.5,26.1,No,,
90,68483,2012-02-04,Melbourne,16.3,32.9,,7.4,9.6,N,44.0,NNE,NNW,20.0,24.0,65.0,23.0,1003.8,999.8,,,20.7,31.7,,,
91,68489,2012-02-10,Melbourne,15.5,26.9,0.0,6.2,7.0,S,52.0,SW,S,11.0,30.0,71.0,52.0,1011.4,1010.0,5.0,6.0,20.5,24.5,No,,
92,68490,2012-02-11,Melbourne,15.6,21.9,,8.6,5.6,S,41.0,S,S,15.0,24.0,75.0,71.0,1013.7,1013.4,,,18.5,19.6,,,
93,68496,2012-02-17,Melbourne,18.4,23.9,9.4,4.8,2.5,S,30.0,S,S,17.0,17.0,83.0,61.0,1017.3,1016.0,8.0,6.0,19.0,22.5,Yes,,
94,68497,2012-02-18,Melbourne,16.4,26.2,,3.2,8.0,SSE,30.0,SW,S,7.0,11.0,85.0,57.0,1018.0,1015.1,,,16.9,25.1,,,
95,68503,2012-02-24,Melbourne,15.0,37.1,0.0,6.6,12.3,N,39.0,NE,WNW,7.0,15.0,69.0,17.0,1020.6,1017.4,1.0,1.0,19.1,35.8,No,,
96,68504,2012-02-25,Melbourne,18.8,37.1,,14.2,12.7,N,61.0,N,N,44.0,28.0,33.0,19.0,1017.6,1015.0,,,27.9,35.3,,,
97,68510,2012-03-02,Melbourne,14.9,23.7,0.6,3.2,7.8,SE,50.0,SE,SE,30.0,26.0,64.0,45.0,1014.5,1013.3,3.0,6.0,17.1,22.1,No,,
98,68511,2012-03-03,Melbourne,16.1,18.9,,6.2,0.0,E,35.0,SE,E,15.0,13.0,74.0,93.0,1014.4,1010.7,,,16.1,16.4,,,
99,68524,2012-03-16,Melbourne,18.0,23.4,11.2,3.0,2.4,N,59.0,WSW,WNW,2.0,15.0,75.0,54.0,1008.3,1009.5,7.0,7.0,19.7,22.3,Yes,,
100,68525,2012-03-17,Melbourne,12.6,22.2,,2.4,10.0,SSE,35.0,W,S,11.0,20.0,73.0,45.0,1019.1,1019.6,,,14.6,21.3,,,
101,68531,2012-03-23,Melbourne,12.8,18.0,0.0,5.4,6.4,WSW,70.0,W,W,20.0,48.0,61.0,27.0,1005.6,1006.3,7.0,7.0,13.0,17.2,No,,
102,68532,2012-03-24,Melbourne,12.2,18.2,,4.6,2.4,W,39.0,W,SSW,19.0,17.0,76.0,54.0,1014.1,1016.8,,,13.6,17.2,,,
103,68545,2012-04-06,Melbourne,16.0,28.5,0.0,4.8,8.0,N,74.0,N,N,33.0,44.0,60.0,44.0,1014.2,1009.0,,,22.6,27.7,No,,
104,68546,2012-04-07,Melbourne,11.5,19.2,,8.2,8.9,WSW,50.0,WSW,W,26.0,17.0,59.0,48.0,1022.1,1020.7,,,14.4,17.7,,,
105,68547,2012-04-08,Melbourne,10.2,19.8,,3.2,3.7,WNW,44.0,NNW,WNW,11.0,15.0,65.0,32.0,1018.9,1015.2,,,13.3,19.3,,,
106,68559,2012-04-20,Melbourne,14.6,22.6,5.4,2.8,6.0,SSE,26.0,W,SSE,7.0,11.0,94.0,66.0,1017.5,1015.6,7.0,,15.9,21.4,Yes,,
107,68560,2012-04-21,Melbourne,13.4,23.8,,2.6,5.6,E,26.0,NNE,E,6.0,13.0,94.0,58.0,1016.3,1011.8,,,13.9,23.4,,,
108,68563,2012-04-24,Melbourne,7.9,15.1,4.4,3.4,0.5,WSW,52.0,NNW,WSW,13.0,24.0,92.0,79.0,1012.8,1013.2,8.0,7.0,9.4,12.0,Yes,,
109,68566,2012-04-27,Melbourne,10.3,20.0,0.4,1.0,6.8,SSW,28.0,W,S,15.0,13.0,80.0,54.0,1023.6,1022.0,3.0,5.0,14.2,18.5,No,,
110,68567,2012-04-28,Melbourne,9.3,21.6,,2.4,9.3,W,48.0,NNW,WSW,17.0,35.0,71.0,43.0,1021.5,1017.8,,,13.6,20.6,,,
111,68573,2012-05-04,Melbourne,10.8,17.1,3.0,1.4,5.5,W,48.0,W,WSW,22.0,19.0,68.0,51.0,1021.0,1019.7,3.0,7.0,13.0,15.6,Yes,,
112,68574,2012-05-05,Melbourne,9.7,14.1,,2.4,2.1,WSW,30.0,W,SSW,15.0,13.0,74.0,83.0,1021.3,1019.0,,,11.0,13.6,,,
113,68580,2012-05-11,Melbourne,12.0,18.5,1.0,3.2,6.0,SW,46.0,WNW,SW,17.0,24.0,67.0,51.0,1018.3,1017.3,5.0,6.0,13.6,16.3,No,,
114,68581,2012-05-12,Melbourne,8.8,16.8,,2.2,8.7,W,54.0,W,WSW,24.0,35.0,66.0,45.0,1020.1,1017.2,,,10.9,14.9,,,
115,68587,2012-05-18,Melbourne,10.3,17.0,0.0,3.6,2.7,N,59.0,N,N,37.0,31.0,60.0,49.0,1022.5,1019.6,7.0,6.0,12.6,16.6,No,,
116,68588,2012-05-19,Melbourne,11.2,15.9,,2.6,0.3,NNW,35.0,NW,S,11.0,11.0,91.0,58.0,1024.1,1024.1,,,11.4,15.1,,,
117,68594,2012-05-25,Melbourne,9.3,11.0,4.2,1.4,0.0,WSW,72.0,NW,WSW,20.0,52.0,86.0,87.0,1007.4,1004.9,8.0,8.0,9.3,10.7,Yes,,
118,68595,2012-05-26,Melbourne,8.5,16.1,,2.4,3.2,S,43.0,WNW,WSW,19.0,20.0,83.0,87.0,1013.7,1014.4,,,10.9,13.3,,,
119,68601,2012-06-01,Melbourne,6.2,17.7,0.0,2.2,6.6,N,30.0,NNW,SSE,11.0,11.0,87.0,48.0,1030.1,1026.8,6.0,4.0,7.3,16.4,No,,
120,68602,2012-06-02,Melbourne,4.8,16.3,,2.0,5.8,SSE,39.0,N,SSE,13.0,9.0,86.0,54.0,1024.5,1021.0,,,6.6,15.6,,,
121,68608,2012-06-08,Melbourne,10.7,15.0,0.0,1.2,0.7,SW,31.0,SW,SW,20.0,20.0,66.0,82.0,1028.1,1027.0,7.0,7.0,11.4,12.2,No,,
122,68609,2012-06-09,Melbourne,10.0,12.8,,0.8,0.6,SW,30.0,WSW,SSE,17.0,15.0,96.0,95.0,1028.1,1026.7,,,10.3,11.5,,,
123,68610,2012-06-10,Melbourne,8.8,13.1,,0.2,1.6,SSE,20.0,SW,S,7.0,17.0,88.0,79.0,1028.0,1026.1,,,9.8,12.4,,,
124,68615,2012-06-15,Melbourne,11.3,16.6,0.4,1.6,6.6,N,44.0,N,NW,19.0,19.0,68.0,45.0,1012.0,1010.6,7.0,5.0,12.0,15.7,No,,
125,68616,2012-06-16,Melbourne,8.7,14.8,,3.2,4.4,N,48.0,N,NNW,35.0,19.0,67.0,57.0,1014.5,1012.1,,,10.1,14.4,,,
126,68622,2012-06-22,Melbourne,8.4,12.5,22.4,0.4,1.0,S,48.0,WSW,S,15.0,13.0,84.0,86.0,1004.8,1010.4,8.0,6.0,10.2,9.5,Yes,,
127,68623,2012-06-23,Melbourne,5.9,14.2,,1.4,5.6,WNW,50.0,N,NNW,22.0,19.0,74.0,57.0,1022.0,1021.7,,,7.1,13.0,,,
128,68630,2012-06-30,Melbourne,7.8,12.6,0.0,1.8,6.6,N,52.0,N,NW,26.0,22.0,75.0,53.0,1008.4,1008.4,,,8.5,12.3,No,,
129,68638,2012-07-08,Melbourne,3.2,15.3,0.0,1.8,3.6,N,48.0,NNE,NNE,17.0,30.0,72.0,39.0,1029.8,1026.3,,,5.4,15.2,No,,
130,68641,2012-07-11,Melbourne,11.4,15.8,2.0,0.4,4.0,NW,56.0,N,N,30.0,30.0,73.0,66.0,1013.3,1013.7,7.0,,12.7,13.6,Yes,,
131,68643,2012-07-13,Melbourne,9.6,14.9,3.6,0.4,1.5,NW,19.0,NW,NW,9.0,7.0,86.0,66.0,1009.0,1007.1,7.0,6.0,10.4,14.4,Yes,,
132,68644,2012-07-14,Melbourne,10.4,14.0,,0.6,5.5,WSW,52.0,N,NW,15.0,22.0,66.0,56.0,1008.1,1006.3,,,11.4,13.4,,,
133,68657,2012-07-27,Melbourne,9.9,14.6,2.6,2.0,2.5,SW,44.0,WSW,S,19.0,24.0,91.0,75.0,1011.4,1012.7,7.0,7.0,11.1,13.2,Yes,,
134,68658,2012-07-28,Melbourne,8.2,16.1,,1.0,3.4,WSW,48.0,NW,WSW,13.0,28.0,82.0,64.0,1020.1,1019.2,,,10.3,15.5,,,
135,68664,2012-08-03,Melbourne,6.5,16.2,0.4,1.8,9.1,N,50.0,N,WNW,31.0,6.0,60.0,46.0,1015.6,1013.1,3.0,6.0,10.0,15.0,No,,
136,68665,2012-08-04,Melbourne,10.0,16.7,,2.6,7.3,N,41.0,W,N,13.0,13.0,76.0,36.0,1015.6,1013.4,,,10.5,15.7,,,
137,68671,2012-08-10,Melbourne,8.0,15.1,8.2,2.0,2.7,SSW,48.0,SW,S,26.0,28.0,89.0,71.0,1027.1,1027.8,7.0,7.0,11.2,13.0,Yes,,
138,68672,2012-08-11,Melbourne,9.6,15.5,,1.4,2.6,SSE,44.0,SSW,S,13.0,28.0,87.0,75.0,1030.4,1029.4,,,10.8,13.4,,,
139,68678,2012-08-17,Melbourne,8.6,11.4,3.6,3.0,1.3,N,54.0,N,S,30.0,9.0,67.0,79.0,998.2,998.9,7.0,7.0,9.2,9.1,Yes,,
140,68679,2012-08-18,Melbourne,8.9,13.4,,2.0,1.2,SW,59.0,SW,SSW,26.0,33.0,84.0,60.0,1013.3,1016.1,,,11.0,12.4,,,
141,68685,2012-08-24,Melbourne,7.9,14.4,3.2,4.2,6.7,WNW,59.0,NNW,W,35.0,46.0,58.0,46.0,1007.1,1006.9,7.0,7.0,10.2,13.5,Yes,,
142,68686,2012-08-25,Melbourne,6.7,14.8,,3.6,7.8,WNW,48.0,NNW,NNW,19.0,30.0,58.0,51.0,1017.4,1015.3,,,10.1,13.2,,,
143,68699,2012-09-07,Melbourne,8.3,15.4,10.2,7.0,7.9,W,80.0,W,W,39.0,41.0,59.0,43.0,1003.3,1005.8,7.0,7.0,10.9,14.8,Yes,,
144,68700,2012-09-08,Melbourne,9.7,16.7,,3.8,5.2,WSW,61.0,W,WSW,31.0,33.0,70.0,59.0,1016.4,1016.8,,,12.3,15.0,,,
145,68706,2012-09-14,Melbourne,6.1,15.9,0.8,2.8,0.8,W,39.0,W,WNW,24.0,19.0,67.0,59.0,1020.0,1019.6,7.0,7.0,11.7,15.1,No,,
146,68707,2012-09-15,Melbourne,10.2,15.8,,1.6,3.9,SSE,28.0,WSW,S,9.0,11.0,71.0,47.0,1026.5,1023.7,,,11.6,15.5,,,
147,68713,2012-09-21,Melbourne,13.3,18.2,0.2,4.2,7.4,SW,52.0,W,SW,26.0,35.0,67.0,73.0,1013.8,1015.5,7.0,7.0,15.9,16.1,No,,
148,68714,2012-09-22,Melbourne,11.6,21.3,,3.8,9.3,N,52.0,S,NNE,13.0,9.0,69.0,34.0,1019.0,1012.8,,,14.0,20.4,,,
